Sample 	Run #	ID	LPS added	Pre-treatment	Sample Type	Main ingredient	Food type	replicate
FF0172	Z6YWP9	Z6YWP9_32	yes	rejuvelac	rejuvelac	rye berries	rejuvelac	replicate_2
FF0221	NQGVPS	NQGVPS_4	yes	Shastha Foods Idli/Idli batter	Shastha Foods Idli/Idli batter	rice	idli	replicate_1
FF0221	NQGVPS	NQGVPS_27	yes	Shastha Foods Idli/Idli batter	Shastha Foods Idli/Idli batter	rice	idli	replicate_2
FF0157	DNWTWM	DNWTWM_17	yes	sinto gourmet kimchi (mild white)	sinto gourmet kimchi (mild white)	cabbage	kimchi	replicate_1
FF0142	Z6YWP9	Z6YWP9_5	yes	Sinto Gourmet kraut-chi crunchy beet	Sinto Gourmet kraut-chi crunchy beet	cabbage	sauerkraut	replicate_1
FF0142	Z6YWP9	Z6YWP9_28	yes	Sinto Gourmet kraut-chi crunchy beet	Sinto Gourmet kraut-chi crunchy beet	cabbage	sauerkraut	replicate_2
FF0154	DNWTWM	DNWTWM_13	yes	"sonoma brinery fresh pickles, manhatton style"	"sonoma brinery fresh pickles, manhatton style"	cucumber	dill pickle	replicate_1
FF0121	4M38F8	4M38F8_13	yes	"Straus organic kefir, plain"	Straus organic kefir	milk	kefir	replicate_2
FF0121	4M38F8	4M38F8_36	yes	"Straus organic kefir, plain"	Straus organic kefir	milk	kefir	replicate_3
FF0121	DNWTWM	DNWTWM_2	yes	"Straus organic kefir, plain"	Straus organic kefir	milk	kefir	replicate_1
FF0120	DNWTWM	DNWTWM_1	yes	Straus organic milk	Straus organic milk	milk	milk	replicate_1
FF0120	M6PXYP	M6PXYP_1	yes	Straus organic milk	Straus organic milk	milk	milk	replicate_2
FF0125	DNWTWM	DNWTWM_3	yes	straus organic yogurt	straus organic yogurt	milk	yogurt	replicate_1
FF0125	M6PXYP	M6PXYP_2	yes	straus organic yogurt	straus organic yogurt	milk	yogurt	replicate_2
FF0139	DNWTWM	DNWTWM_5	yes	taleggio	taleggio	milk	cheese	replicate_1
FF0209	53JTN4	53JTN4_15	yes	Taro brand sour poi	Taro brand sour poi	taro	poi	replicate_1
FF0209	53JTN4	53JTN4_38	yes	Taro brand sour poi	Taro brand sour poi	taro	poi	replicate_2
FF0188	53JTN4	53JTN4_2	yes	Taza 95% dark chocolate wicked dark chocolate	Taza 95% dark chocolate wicked dark chocolate	cacao	chocolate	replicate_1
FF0188	53JTN4	53JTN4_25	yes	Taza 95% dark chocolate wicked dark chocolate	Taza 95% dark chocolate wicked dark chocolate	cacao	chocolate	replicate_2
FF0191	53JTN4	53JTN4_4	yes	The Tao of Tea organic Topaz puer	The Tao of Tea organic Topaz puer	tea	tea	replicate_1
FF0191	53JTN4	53JTN4_27	yes	The Tao of Tea organic Topaz puer	The Tao of Tea organic Topaz puer	tea	tea	replicate_2
FF0036	Z6YWP9	Z6YWP9_1	yes	Traditional Red Miso	Traditional Red Miso	soybean	Miso	replicate_1
FF0036	Z6YWP9	Z6YWP9_24	yes	Traditional Red Miso	Traditional Red Miso	soybean	Miso	replicate_2
FF0235	NQGVPS	NQGVPS_17	yes	"Turmeric, Ginger, Jalepeno sauerkraut"	"Turmeric, Ginger, Jalepeno sauerkraut"	cabbage	sauerkraut	replicate_1
FF0235	NQGVPS	NQGVPS_40	yes	"Turmeric, Ginger, Jalepeno sauerkraut"	"Turmeric, Ginger, Jalepeno sauerkraut"	cabbage	sauerkraut	replicate_2
FF0246	4M38F8	4M38F8_6	yes	Viili yogurt	Viili yogurt	milk	yogurt	replicate_1
FF0246	4M38F8	4M38F8_29	yes	Viili yogurt	Viili yogurt	milk	yogurt	replicate_2
FF0213	53JTN4	53JTN4_19	yes	Wala ga kenkey	Wala ga kenkey	corn	kenkey	replicate_1
FF0213	53JTN4	53JTN4_42	yes	Wala ga kenkey	Wala ga kenkey	corn	kenkey	replicate_2
FF0254	4M38F8	4M38F8_11	yes	water kefir	water kefir	sugar	water kefir	replicate_1
