Sample 	Run #	ID	LPS added	Pre-treatment	Sample Type	Main ingredient	Food type	replicate
FF0174	Z6YWP9	Z6YWP9_11	yes	Wildbrine probiotic sriracha	Wildbrine probiotic sriracha	cabbage	fermented chili paste	replicate_1
FF0174	Z6YWP9	Z6YWP9_34	yes	Wildbrine probiotic sriracha	Wildbrine probiotic sriracha	cabbage	fermented chili paste	replicate_2
FF0149	4M38F8	4M38F8_19	yes	wildbrine raw organic kraut	wildbrine raw organic kraut	cabbage	sauerkraut	replicate_2
FF0149	4M38F8	4M38F8_42	yes	wildbrine raw organic kraut	wildbrine raw organic kraut	cabbage	sauerkraut	replicate_3
FF0149	DNWTWM	DNWTWM_9	yes	wildbrine raw organic kraut	wildbrine raw organic kraut	cabbage	sauerkraut	replicate_1
FF0144	Z6YWP9	Z6YWP9_7	yes	wildbrine red beet & cabbage	wildbrine red beet & cabbage	cabbage	sauerkraut	replicate_1
FF0144	Z6YWP9	Z6YWP9_30	yes	wildbrine red beet & cabbage	wildbrine red beet & cabbage	cabbage	sauerkraut	replicate_2
FF0233	NQGVPS	NQGVPS_15	yes	Winnimere cheese	Winnimere cheese	milk	cheese	replicate_1
FF0233	NQGVPS	NQGVPS_38	yes	Winnimere cheese	Winnimere cheese	milk	cheese	replicate_2
FF0200	53JTN4	53JTN4_8	yes	Wise Goat honey fermented garlic	Wise Goat honey fermented garlic	garlic	pickled vegetable	replicate_1
FF0200	53JTN4	53JTN4_31	yes	Wise Goat honey fermented garlic	Wise Goat honey fermented garlic	garlic	pickled vegetable	replicate_2
