autogenerated integer,autogenerated integer,autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",optional text field,optional text field,optional text field,mandatory if DNA isolation selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field,Bioinformatics Service,
Order ID,SeqCoast Tube ID,Service Selection,Requester Name,DNA Extraction,Variant Calling,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes,Bioinformatics Service,
7857,218,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,218,Burlap & Barrel white peppercorns,food sample in Zymo DNA/RNA later,,,,,,,,
7857,219,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,219,Burlap & Barrel Iru,food sample in Zymo DNA/RNA later,,,,,,,,
7857,220,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,220,Elizabeth Sourdough,food sample in Zymo DNA/RNA later,,,,,,,,
7857,221,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,221,Shastha Foods Idli/Idli batter,food sample in Zymo DNA/RNA later,,,,,,,,
7857,222,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,222,Grandios Yellow pap/ogi,food sample in Zymo DNA/RNA later,,,,,,,,
7857,223,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,223,Chantle Sourdough,food sample in Zymo DNA/RNA later,,,,,,,,
7857,224,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,224,CJ Doenjang,food sample in Zymo DNA/RNA later,,,,,,,,
7857,227,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,227,Mango pickle,food sample in Zymo DNA/RNA later,,,,,,,,
7857,228,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,228,Bayley Hazen Blue cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,229,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,229,Cabot Clothbound cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,230,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,230,Alpha Tolman cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,231,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,231,Moses Sleeper cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,232,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,232,Harbison Cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,233,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,233,Winnimere cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,234,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,234,Gochujang,food sample in Zymo DNA/RNA later,,,,,,,,
7857,235,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,235,"Turmeric, Ginger, Jalepeno sauerkraut",food sample in Zymo DNA/RNA later,,,,,,,,
7857,236,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,236,morel mushroom miso,food sample in Zymo DNA/RNA later,,,,,,,,
7857,237,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,237,cultured sea kraut,food sample in Zymo DNA/RNA later,,,,,,,,
7857,238,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,238,amazake,food sample in Zymo DNA/RNA later,,,,,,,,
7857,239,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,239,jalapeno kasuzuke (18mo),food sample in Zymo DNA/RNA later,,,,,,,,
