fastq_1,fastq_2,sample_number,sample_description,sample_name,fermented_food
7857_179_S226_R1.fastq.gz,7857_179_S226_R2.fastq.gz,179,Dragonfly preserved bean curd in chili oil,FF0179_dragonfly_preserved_bean_curd_in_chili_oil,bean curd
7857_180_S227_R1.fastq.gz,7857_180_S227_R2.fastq.gz,180,NY natto black,FF0180_ny_natto_black,natto
7857_183_S228_R1.fastq.gz,7857_183_S228_R2.fastq.gz,183,Fra'mani salametto salame,FF0183_fra'mani_salametto_salame,salame
7857_184_S229_R1.fastq.gz,7857_184_S229_R2.fastq.gz,184,Journeyman meat co saucisson sec salame,FF0184_journeyman_meat_co_saucisson_sec_salame,salame
7857_191_S230_R1.fastq.gz,7857_191_S230_R2.fastq.gz,191,The Tao of Tea organic Topaz puer,FF0191_the_tao_of_tea_organic_topaz_puer,puer
7857_192_S231_R1.fastq.gz,7857_192_S231_R2.fastq.gz,192,Braggs apple cider vinegar,FF0192_braggs_apple_cider_vinegar,vineger
7857_198_S232_R1.fastq.gz,7857_198_S232_R2.fastq.gz,198,Cafe Colucci injera batter,FF0198_cafe_colucci_injera_batter,injera
7857_200_S233_R1.fastq.gz,7857_200_S233_R2.fastq.gz,200,Wise Goat honey fermented garlic,FF0200_wise_goat_honey_fermented_garlic,garlic
7857_202_S234_R1.fastq.gz,7857_202_S234_R2.fastq.gz,202,Cultured Pickle Chile paste,FF0202_cultured_pickle_chile_paste,chili paste
7857_204_S235_R1.fastq.gz,7857_204_S235_R2.fastq.gz,204,Wild West Ferments spicy Italian pickle,FF0204_wild_west_ferments_spicy_italian_pickle,pickles
7857_206_S236_R1.fastq.gz,7857_206_S236_R2.fastq.gz,206,Wild West Ferments Chili paste,FF0206_wild_west_ferments_chili_paste,chili paste
7857_209_S237_R1.fastq.gz,7857_209_S237_R2.fastq.gz,209,Taro brand sour poi,FF0209_taro_brand_sour_poi,poi
7857_210_S238_R1.fastq.gz,7857_210_S238_R2.fastq.gz,210,Cultured spicy okra,FF0210_cultured_spicy_okra,okra
7857_211_S239_R1.fastq.gz,7857_211_S239_R2.fastq.gz,211,Kopabana cassava fufu,FF0211_kopabana_cassava_fufu,fufu
7857_218_S240_R1.fastq.gz,7857_218_S240_R2.fastq.gz,218,Burlap & Barrel white peppercorns,FF0218_burlap_&_barrel_white_peppercorns,peppercorns
7857_219_S241_R1.fastq.gz,7857_219_S241_R2.fastq.gz,219,Burlap & Barrel Iru,FF0219_burlap_&_barrel_iru,iru
7857_220_S242_R1.fastq.gz,7857_220_S242_R2.fastq.gz,220,Elizabeth Sourdough,FF0220_elizabeth_sourdough,sourdough
7857_221_S243_R1.fastq.gz,7857_221_S243_R2.fastq.gz,221,Shastha Foods Idli/Idli batter,FF0221_shastha_foods_idli/idli_batter,idli
7857_222_S244_R1.fastq.gz,7857_222_S244_R2.fastq.gz,222,Grandios Yellow pap/ogi,FF0222_grandios_yellow_pap/ogi,pap
7857_223_S245_R1.fastq.gz,7857_223_S245_R2.fastq.gz,223,Chantle Sourdough,FF0223_chantle_sourdough,sourdough
7857_224_S246_R1.fastq.gz,7857_224_S246_R2.fastq.gz,224,CJ Doenjang,FF0224_cj_doenjang,doenjang
7857_228_S247_R1.fastq.gz,7857_228_S247_R2.fastq.gz,228,Bayley Hazen Blue cheese,FF0228_bayley_hazen_blue_cheese,cheese
7857_229_S248_R1.fastq.gz,7857_229_S248_R2.fastq.gz,229,Cabot Clothbound cheese,FF0229_cabot_clothbound_cheese,cheese
7857_230_S249_R1.fastq.gz,7857_230_S249_R2.fastq.gz,230,Alpha Tolman cheese,FF0230_alpha_tolman_cheese,cheese
7857_231_S250_R1.fastq.gz,7857_231_S250_R2.fastq.gz,231,Moses Sleeper cheese,FF0231_moses_sleeper_cheese,cheese
7857_232_S251_R1.fastq.gz,7857_232_S251_R2.fastq.gz,232,Harbison Cheese,FF0232_harbison_cheese,cheese
7857_233_S252_R1.fastq.gz,7857_233_S252_R2.fastq.gz,233,Winnimere cheese,FF0233_winnimere_cheese,cheese
