fastq_1,fastq_2,sample_name,fermented_food,food_category
7857_141_S206_R1.fastq.gz,7857_141_S206_R2.fastq.gz,FF0141_local_culture_beet_+_fennel,sauerkraut,vegetable
7857_142_S207_R1.fastq.gz,7857_142_S207_R2.fastq.gz,FF0142_sinto_gourmet_kraut-chi_crunchy_beet,beets,vegetable
7857_143_S208_R1.fastq.gz,7857_143_S208_R2.fastq.gz,FF0143_wild_west_ferments_moroccan_beets,beets,vegetable
7857_144_S209_R1.fastq.gz,7857_144_S209_R2.fastq.gz,FF0144_wildbrine_red_beet_&_cabbage,sauerkraut,vegetable
7741_006_S31_R1.fastq.gz,7741_006_S31_R2.fastq.gz,FF0145_wild west ferments simply sauerkraut,sauerkraut,vegetable
7741_007_S32_R1.fastq.gz,7741_007_S32_R2.fastq.gz,FF0146_wild west ferments signature sauerkraut,sauerkraut,vegetable
7857_147_S210_R1.fastq.gz,7857_147_S210_R2.fastq.gz,"FF0147_wild_west_ferments_limited_edition_saerkraut,_green_garlic",sauerkraut,vegetable
7857_148_S211_R1.fastq.gz,7857_148_S211_R2.fastq.gz,FF0148_wild_west_erments_el_curtido,sauerkraut,vegetable
7741_008_S33_R1.fastq.gz,7741_008_S33_R2.fastq.gz,FF0149_wildbrine raw organic kraut,sauerkraut,vegetable
7857_150_S212_R1.fastq.gz,7857_150_S212_R2.fastq.gz,FF0150_sonoma_brinery_raw_sauerkraut,sauerkraut,vegetable
7857_151_S213_R1.fastq.gz,7857_151_S213_R2.fastq.gz,FF0151_farmhouse_culture_kraut,sauerkraut,vegetable
7741_009_S34_R1.fastq.gz,7741_009_S34_R2.fastq.gz,FF0153_britt's pickles,pickles,vegetable
7741_010_S35_R1.fastq.gz,7741_010_S35_R2.fastq.gz,"FF0154_sonoma brinery fresh pickles, manhatton style",pickles,vegetable
7741_011_S36_R1.fastq.gz,7741_011_S36_R2.fastq.gz,FF0155_bubbie's baby kosher dill pickles,pickles,vegetable
7741_012_S37_R1.fastq.gz,7741_012_S37_R2.fastq.gz,FF0156_cultured classic dills,pickles,vegetable
7741_013_S38_R1.fastq.gz,7741_013_S38_R2.fastq.gz,FF0157_sinto gourmet kimchi (mild white),kimchi,vegetable
7741_014_S39_R1.fastq.gz,7741_014_S39_R2.fastq.gz,FF0158_jongga mat kimchi,kimchi,vegetable
