Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP010,F,7,10,FF0162,Napa cabbage,cultured napa cabbage kimchi,LPS+,sample,1.151,18257,1.747,141.158,59.447,100.996
20251114,1,BP010,F,8,10,FF0166,Soy,soy milk,LPS+,sample,0.853,10092,1.581,103.183,31.518,88.185
20251114,1,BP010,F,9,10,FF0031,Cabbage,Sauerkraut,LPS+,sample,1.007,6250,2.200,122.853,18.377,136.149
20251114,1,BP010,F,10,10,FF0032,Napa cabbage,Cleveland Kimchi,LPS+,sample,1.013,8241,2.181,123.597,25.187,134.630
20251114,1,BP010,F,11,10,negative_control,Control,PBS,LPS-,negative control,0.041,620,1.244,-0.037,-0.881,62.061
20251114,1,BP010,F,12,10,negative_control,Control,PBS,LPS-,negative control,0.041,990,1.264,-0.051,0.385,63.611
20251114,1,BP010,G,1,10,FF0033,Napa cabbage,Sinto Gourmet Kimchi,LPS+,sample,1.025,11563,2.544,125.080,36.550,162.770
20251114,1,BP010,G,2,10,FF0047,Milk,Buttermilk,LPS+,sample,1.057,25494,1.845,129.212,84.201,108.614
20251114,1,BP010,G,3,10,FF0049,Beet,Fermented Beet Concentrate,LPS+,sample,1.121,2940,1.828,137.328,7.055,107.281
20251114,1,BP010,G,4,10,FF0050,Carrot,Fermented Carrot Concentrate,LPS+,sample,1.319,22922,1.854,162.530,75.403,109.273
20251114,1,BP010,G,5,10,FF0076,Fruit,Biotic Ferments turmeric tangerine kvass,LPS+,sample,1.113,24393,1.750,136.269,80.435,101.228
20251114,1,BP010,G,6,10,FF0077,Beet,Biotic Ferments classic beet kvass,LPS+,sample,1.040,17286,2.017,127.003,56.125,121.920
20251114,1,BP010,G,7,10,FF0083,Beet,Cleveland Kraut Beet Red,LPS+,sample,1.138,9251,2.138,139.561,28.642,131.329
20251114,1,BP010,G,8,10,FF0087,Soy,San-J Organic Tamari,LPS+,sample,1.183,3930,1.757,145.216,10.441,101.794
20251114,1,BP010,G,9,10,FF0100,Cabbage,Cultured Pickle Raw Vintage Kraut,LPS+,sample,0.983,7041,2.010,119.790,21.082,121.370
20251114,1,BP010,G,10,10,FF0102,Carrot,Cultured Pickle Carrots in Ginger Turmeric Brine,LPS+,sample,1.001,28618,1.694,122.107,94.886,96.873
20251114,1,BP010,G,11,10,blank,NA,PBS,LPS+,blank,0.813,28769,1.627,98.167,95.403,91.712
20251114,1,BP010,G,12,10,kill_control,NA,2.5% DMSO,LPS+,kill control,0.820,1600,0.494,99.070,2.471,3.906
20251114,1,BP010,H,1,10,FF0033,Napa cabbage,Sinto Gourmet Kimchi,LPS+,sample,1.076,9161,2.551,131.626,28.334,163.336
20251114,1,BP010,H,2,10,FF0047,Milk,Buttermilk,LPS+,sample,1.105,22111,1.826,135.273,72.629,107.126
20251114,1,BP010,H,3,10,FF0049,Beet,Fermented Beet Concentrate,LPS+,sample,1.082,4350,2.077,132.358,11.878,126.625
20251114,1,BP010,H,4,10,FF0050,Carrot,Fermented Carrot Concentrate,LPS+,sample,1.296,19398,1.926,159.605,63.349,114.891
20251114,1,BP010,H,5,10,FF0076,Fruit,Biotic Ferments turmeric tangerine kvass,LPS+,sample,1.171,24173,1.757,143.668,79.682,101.786
20251114,1,BP010,H,6,10,FF0077,Beet,Biotic Ferments classic beet kvass,LPS+,sample,1.121,14474,2.043,137.394,46.507,123.943
20251114,1,BP010,H,7,10,FF0083,Beet,Cleveland Kraut Beet Red,LPS+,sample,1.153,9051,2.171,141.360,27.957,133.855
