Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0134	Jasper Hill Farm Willoughby	Dairy	Cheese	ready to eat	FF0134	yes	yes	1	0	pasteurized cow milk, salt, rennet (animal), and cheese cultures	Jasper Hill Farm	US	milk	lactic acid		pasteurized cow milk, salt, rennet (animal), and cheese cultures	not_organic	Jasper Hill Farm	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0136	Rivoir-Jacques Vache Comte	Dairy	Cheese	ready to eat	FF0136	yes	yes	1	0	raw cow’s milk, salt, cultures, rennet	Rivoire-Jacquemin	France	milk	lactic acid		raw cow’s milk, salt, cultures, rennet	not_organic	Rivoire-Jacquemin	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0137	Le Gryuere Switzerland	Dairy	Cheese	ready to eat	FF0137	yes	yes	3	3	raw cow’s milk, salt, cultures, rennet	Le Gruyere	Switzerland	milk	lactic acid		raw cow’s milk, salt, cultures, rennet	not_organic	Le Gruyere	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0138	Beemster Aged Gouda	Dairy	Cheese	ready to eat	FF0138	yes	yes	1	0	cow’s milk, salt, cultures, rennet	Beemster	Netherlands	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Beemster	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0139	Taleggio	Dairy	Cheese	ready to eat	FF0139	yes	yes	1	1	cow’s milk, salt, cultures, rennet	Sorella	Italy	milk	lactic acid		cow’s milk, salt, cultures, rennet	not_organic	Sorella	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0140	Cultured Beets With Fennel	Vegetable - Beet	Pickled vegetable	ready to eat	FF0140	yes	yes	2	2	Organic beets, organic fennel, salt	Cultured Pickle	US	beet	lactic acid		Organic beets, organic fennel, salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0141	Local Culture Beet + Fennel	Vegetable - Beet	Pickled vegetable	ready to eat	FF0141	yes	yes	2	2	Organic cabbage, organic beets, organic fennel, sea salt	Local Culture	US	beet	lactic acid		Organic cabbage, organic beets, organic fennel, sea salt	organic	Local Culture	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0142	Sinto Gourmet Kraut-Chi Crunchy Beet	Vegetable - Beet	Sauerkraut	ready to eat	FF0142	yes	yes	2	2	Green Cabbage, Red Beet, Water, Sea Salt, Organic Apple Juice, Yellow Onion, Ginger	Sinto Gourmet	US	beet	lactic acid		Green Cabbage, Red Beet, Water, Sea Salt, Organic Apple Juice, Yellow Onion, Ginger	organic	Sinto Gourmet	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0143	Wild West Ferments Moroccan Beets	Vegetable - Beet	Pickled vegetable	ready to eat	FF0143	yes	yes	2	2	organic beets, organic red cabbage, organic lemon, organic onion, organic garlic, organic cumin, organic parsley, organic mint, unrefined sea salt	Wild West Ferments	US	beet	lactic acid		organic beets, organic red cabbage, organic lemon, organic onion, organic garlic, organic cumin, organic parsley, organic mint, unrefined sea salt	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0144	Wildbrine Red Beet & Cabbage	Vegetable - Beet	Sauerkraut	ready to eat	FF0144	yes	yes	2	2	Organic Red Cabbage, Organic Red Beets, Organic Pears, Sea Salt, Organic Spices, Organic Garlic	Wildbrine	US	beet	lactic acid		Organic Red Cabbage, Organic Red Beets, Organic Pears, Sea Salt, Organic Spices, Organic Garlic	organic	Wildbrine	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0145	Wild West Ferments Simply Sauerkraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0145	yes	yes	3	4	organic cabbage, unrefined sea salt	Wild West Ferments	US	cabbage	lactic acid		organic cabbage, unrefined sea salt	organic	Wild West Ferments	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
