Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0241	Beet Kombucha	Vegetable - Beet	Kombucha	ready to eat	FF0241	no	yes	2	2	tea, beet, yuzu, mint, sugar	Cultured Pickle	US	beet	acetic acid		tea, beet, yuzu, mint, sugar	organic	Cultured Pickle	acetic acid	plant-based food product	fermented tea beverage	kombucha	tea beverage (liquid)	tea based beverage product	kombucha tea > tea beverage (liquid) > tea based beverage product > plant food product	FOODON:03311874
FF0242	Carrot Nukazuke	Vegetable/grain	Nukazuke	ready to eat	FF0242	yes	yes	2	2	carrots, rice bran, salt	Cultured Pickle	US	carrot	lactic acid		carrots, rice bran, salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	nukazuke	food (fermented)	food material by process	nukazuke > food (fermented) > food material by process > plant food product	unknown
FF0243	Filmjolk Yogurt	Dairy	Yogurt	ready to eat	FF0243	yes	yes	2	2	milk, live active cultures	Cultures for Health 	US	milk	lactic acid		organic milk, live active cultures	organic	Cultures for Health 	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0244	Matsoni Yogurt	Dairy	Yogurt	ready to eat	FF0244	yes	yes	0	0	milk, live active cultures	Cultures for Health 	US	milk	lactic acid		organic milk, live active cultures	organic	Cultures for Health 	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0245	Piima Yogurt	Dairy	Yogurt	ready to eat	FF0245	yes	yes	2	2	milk, live active cultures	Cultures for Health 	US	milk	lactic acid		organic milk, live active cultures	organic	Cultures for Health 	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0246	Viili Yogurt	Dairy	Yogurt	ready to eat	FF0246	yes	yes	2	2	milk, live active cultures	Cultures for Health 	US	milk	lactic acid		organic milk, live active cultures	organic	Cultures for Health 	lactic acid	animal-based food product	fermented milk product	yogurt	fermented dairy food product	dairy food product	yogurt food product > fermented dairy food product > dairy food product > animal food product	FOODON:00001014
FF0247	Kefir	Dairy	Yogurt	ready to eat	FF0252	yes	no	2	2	milk, kefir grains	Cultures for Health 	US	milk	lactic acid				Rachel	lactic acid							
FF0248	Dosa Batter	Grain/legume	Dosa	raw	FF0248	no	yes	2	2	Idly rice, parboiled rice, urad dal, salt	Shastha Foods	US	rice	mixed lactic acid/acetic acid	(microbial sample from FF0249)			Shastha Foods	mixed lactic acid/acetic acid							
FF0249	Dosa	Grain/legume	Dosa	cooked	FF0248	yes	no	0	0	Idly rice, parboiled rice, urad dal, salt	Shastha Foods	US	rice	mixed lactic acid/acetic acid		Idly rice, parboiled rice, urad dal, salt	not_organic	Shastha Foods	mixed lactic acid/acetic acid	plant-based food product	fermented grain batter	dosa	multi-component rice food product	multi-component plant food product	dosa > multi-component rice food product > multi-component plant food product > plant food product	FOODON:03311571
FF0250	Millet Dosa Batter	Grain/legume	Dosa	raw	FF0250	no	yes	2	2	little millet, kodo millet, barnyard millet, foxtail millet, urad dal, salt	Shastha Foods	US	millet	mixed lactic acid/acetic acid	(microbial sample from FF0251)			Shastha Foods	mixed lactic acid/acetic acid							
FF0251	Millet Dosa	Grain/legume	Dosa	cooked	FF0250	yes	no	2	2	little millet, kodo millet, barnyard millet, foxtail millet, urad dal, salt	Shastha Foods	US	millet	mixed lactic acid/acetic acid		little millet, kodo millet, barnyard millet, foxtail millet, urad dal, salt	not_organic	Shastha Foods	mixed lactic acid/acetic acid	plant-based food product	fermented grain batter	dosa	multi-component rice food product	multi-component plant food product	dosa > multi-component rice food product > multi-component plant food product > plant food product	FOODON:03311571
FF0252	Kefir Grains 	Dairy	Kefir	starter culture	FF0252	no	yes	0	0	kefir grains	Cultures for Health	US	milk	lactic acid	(microbial sample from FF0247)	kefir grains	organic	Cultures for Health	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0253	Water Kefir Grains	Sugar	Water kefir	starter culture	FF0253	no	yes	0	0	water kefir grains	Cultures for Health	US	sugar	mixed lactic acid/acetic acid	(microbial sample from FF0254)	water kefir grains	organic	Cultures for Health	mixed lactic acid/acetic acid	plant-based food product	fermented beverage	water kefir	beverage food product	food by meal type	water kefir > beverage food product > food by meal type > plant food product	unknown
FF0254	Water Kefir	Sugar	Water kefir	ready to eat	FF0253	no	no	2	2	water kefir grains, organic cane sugar	Cultures for Health	US	sugar	mixed lactic acid/acetic acid				Rachel	mixed lactic acid/acetic acid							
FF0255	Bonito Flakes (Katsuobushi)	Meat	Katsuobushi	ready to eat	FF0255	yes	no	0	0	skipjack tuna (katsuwonus pelamis)	Muso	Japan	tuna	mixed/unknown				Muso	mixed/unknown							
FF0256	Fermented Black Beans (Douchi)	Soy	Douchi	ready to eat	FF0256	yes	yes	2	2	black soy beans, salt	Yunhai	Taiwan	soybean	mixed koji/unknown		black soy beans, salt	not_organic	Yunhai	mixed koji/unknown	plant-based food product	fermented legume product	douchi	fermented bean product	bean food product	douchi > fermented bean product > bean food product > plant food product	unknown
FF0257	Black Garlic	Vegetable - other	Black Garlic	ready to eat	FF0257	yes	failed	0	0	organic garlic	Wise Goat Organics	US	garlic	mixed/unknown				Wise Goat Organics	mixed/unknown							
FF0258	Sorghum Dosa Batter	Grain/legume	Dosa	raw	FF0258	no	yes	0	0	sorghum millet, urad dal, salt	Shastha Foods	US	millet	mixed lactic acid/acetic acid	(microbial sample from FF0259)	sorghum millet, urad dal, salt	not_organic	Shastha Foods	mixed lactic acid/acetic acid	plant-based food product	fermented grain batter	dosa	multi-component rice food product	multi-component plant food product	dosa > multi-component rice food product > multi-component plant food product > plant food product	FOODON:03311571
FF0259	Sorghum Dosa Cooked	Grain/legume	Dosa	cooked	FF0258	no	no	0	0	sorghum millet, urad dal, salt	Shastha Foods	US	millet	mixed lactic acid/acetic acid				Shastha Foods	mixed lactic acid/acetic acid							
FF0260	Ragi Dosa Batter	Grain/legume	Dosa	raw	FF0260	no	yes	0	0	Ragi flour, parboiled rice, urad dal, salt, water, ginger, chilli & curry leaves	Shastha Foods	US	millet	mixed lactic acid/acetic acid	(microbial sample from FF0261)	Ragi flour, parboiled rice, urad dal, salt, water, ginger, chilli & curry leaves	not_organic	Shastha Foods	mixed lactic acid/acetic acid	plant-based food product	fermented grain batter	dosa	multi-component rice food product	multi-component plant food product	dosa > multi-component rice food product > multi-component plant food product > plant food product	FOODON:03311571
FF0261	Ragi Dosa (Cooked)	Grain/legume	Dosa	cooked	FF0260	no	no	0	0	Ragi flour, parboiled rice, urad dal, salt, water, ginger, chilli & curry leaves	Shastha Foods	US	millet	mixed lactic acid/acetic acid				Shastha Foods	mixed lactic acid/acetic acid							
FF0262	Amazake	Grain	Amazake	ready to eat	FF0262	no	no	2	2	Rice, koji	Kelly	US	rice	koji		rice, koji	organic	Kelly	koji	plant-based food product	fermented grain beverage	amazake	plant derived fermented beverage	fermented beverage	amazake > plant derived fermented beverage > fermented beverage > plant food product	unknown
